Producto,Característica_1,Característica_2,Característica_3,Característica_4,Característica_5,Característica_6,Característica_7,Característica_8,Característica_9,Característica_10
Corsair Vengeance RGB Pro SL White DDR4 3600 PC4-28800 32 GB 2x16GB CL18,Ilumine su sistema con una iluminación viva y animada de diez LED RGB ultrabrillantes direccionables individualmente por módulo.,Elija entre docenas de perfiles de iluminación predeterminados o cree el suyo propio en el software CORSAIR iCUE.,Solo 44 mm de altura para una amplia compatibilidad con enfriadores de aire como el CORSAIR A500.,Optimizado para un ancho de banda máximo y tiempos de respuesta ajustados en las últimas placas base Intel® y AMD DDR4.,Un PCB de rendimiento personalizado proporciona la más alta calidad de señal para el mayor nivel de rendimiento y estabilidad.,"Los módulos VENGEANCE RGB PRO SL utilizan solo chips de memoria con pantallas ajustadas, para un mayor potencial de overclocking.","Tome el control con el software CORSAIR iCUE y sincronice la iluminación con otros productos CORSAIR RGB, incluidos refrigeradores, teclados y ventiladores.","Un difusor de calor de aluminio sólido mejora la conductividad térmica para una excelente refrigeración de la memoria incluso con overclock, con un estilo moderno para complementar su iluminación RGB.",Admite Intel® XMP 2.0 para una instalación y configuración simples de un solo ajuste.,Disfrute de una total tranquilidad con una garantía limitada de por vida.
Samsung 980 SSD 1TB PCIe 3.0 NVMe M.2,"A tope de velocidad: Ve al grano. El 980 aprovecha la velocidad de la PCIe 3.0 con la tecnología HMB y una espectacular eficiencia de NVMe. El diseño DRAMless ofrece una calidad excelente y velocidades secuenciales de lectura/escritura de vértigo de hasta 3500/3000 Mb/s*, unas 6,2 veces la velocidad de los SSD SATA.","A la vanguardia con el modo Full Power: Haz que tu SSD funcione al máximo nivel con un rendimiento alto, constante e ininterrumpido con el modo Full Power. Actívalo en el software Samsung Magician para que tu SSD siempre esté activo. Pasa de trabajar con archivos enormes a jugar con gráficos exigentes o al uso normal de tu PC al instante","Control térmico fiable: Los SSD de alto rendimiento precisan un control térmico similar. Para garantizar un rendimiento estable, el 980 utiliza un recubrimiento de níquel que ayuda a gestionar el nivel de calor del controlador y una etiqueta de distribución de calor que brinda un control térmico eficaz del chip NAND.","Solución térmica inteligente: Integrado en el vanguardista algoritmo de control térmico de Samsung, el 980 gestiona el calor para ofrecer un rendimiento duradero y fiable. La tecnología Dynamic Thermal Guard de Samsung minimiza las fluctuaciones en el rendimiento a largo plazo y mantiene la temperatura en niveles óptimos.",Características,Versión NVMe: 1.4,Algoritmos de seguridad soportados: 256-bit AES,Factor de forma de disco SSD: M.2,"SDD, capacidad: 1000 GB",Interfaz: PCI Express 3.0
Asus ZenDrive U8M Grabadora de DVD Portátil USB/USB-C Negra,Diseño,Interno: No,Color del producto: Negro,Tipo de carga en disco: Bandeja,Montaje: Horizontal,Interno: No,Color del producto: Negro,Tipo de carga en disco: Bandeja,Montaje: Horizontal,Desempeño
Be Quiet! Dark Rock Pro 5 Ventilador CPU 7 Pipes 135mm Negro,"Incluso con sistemas muy overclockeados. Dark Rock Pro 5 cuenta con 7 tubos de calor de cobre de alto rendimiento y un revestimiento negro especial con partículas de cerámica . Como resultado, este disipador de alta gama mantiene su CPU al máximo rendimiento en todo momento, incluso en sistemas con overclocking intenso y estaciones de trabajo exigentes.","Para un funcionamiento prácticamente inaudible. Los dos ventiladores Silent Wings PWM cuentan con cojinetes fluidodinámicos avanzados , motores suaves de 6 polos y aspas de ventilador optimizadas para el flujo de aire. Gracias a una distancia mínima entre las aspas del ventilador y el marco, el ventilador frontal proporciona una presión de aire extremadamente alta. Una salida de marco en forma de embudo permite una distribución ideal del aire. El marco del ventilador recubierto de goma evita que las vibraciones se transfieran al disipador de calor, lo que reduce el ruido general.","Hazlo más fresco, como lo necesitas. Un interruptor de velocidad le permite elegir entre 2 modos, cada uno de los cuales afecta la velocidad máxima del ventilador y la curva PWM . El modo silencioso proporciona una velocidad máxima del ventilador de hasta 1500 rpm y es la opción perfecta para aplicaciones normales. El modo de rendimiento permite que los ventiladores Silent Wings giren a una velocidad de hasta 2000 rpm y liberen toda la potencia del Dark Rock Pro 5.","La instalación es muy sencilla. Gracias a sus ingeniosas funciones, el concepto de instalación es sencillo y elegante. La cubierta superior de malla desmontable con ventilador central integrado se inserta desde arriba. Un kit de montaje completamente negro con puente de montaje preinstalado y tornillos de fijación combina perfectamente con el diseño negro del enfriador.","Indiscutible en forma y función. Los refrigeradores Dark Rock son famosos por su diseño distintivo desde hace muchos años. El Dark Rock Pro 5 sigue este diseño y se puede reconocer como un Dark Rock de inmediato. No obstante, el Dark Rock Pro 5 agrega sus propios acentos a la rica historia de los refrigeradores de alta gama de be quiet!.","Poder de enfriamiento más allá de lo creíble. Gracias a su base niquelada, Dark Rock Pro 5 es compatible con pasta térmica de metal líquido como DC2 Pro. Las propiedades del compuesto de metal líquido combinadas con Dark Rock Pro 5 permiten que las CPU de alta gama rindan a niveles aún más altos.",Desempeño,Localización adecuada: Procesador,Tipo: Refrigerador de aire,Diámetro de ventilador: 120/135 mm
MSI MAG A850GL PCIE5 II ATX 3.1 850W 80 Plus Gold Modular,"Compatible con ATX 3.1, conector PCIe 5.1 nativo",Admite tarjetas gráficas NVIDIA ® GeForce RTX ™ Serie 40,"Diseño modular completo, cables planos",Certificación 80 Plus Gold por alta eficiencia con diseño PFC activo,"Protección a nivel industrial con OVP, OCP, OPP, OTP, SCP, UVP",Ventilador con cojinetes fluidodinámicos de 120 mm,Topología de puente completo LLC con diseño de módulo CC-CC,Eficiencia: 80 Plus Gold,Modular: Si,Ventilador: 120mm
ASUS ROG Loki SFX-L 1000W 80 Plus Platinum Modular,"Disipadores térmicos ROG: Los disipadores térmicos ROG facilitan la reducción de la temperatura, una mayor vida útil de los componentes y un funcionamiento prolongado a 0 dB.","Diseño de ventilador con tecnología axial: El diseño de ventilador de tecnología axial cuenta con un núcleo de ventilador más pequeño que facilita unas aspas más largas y un anillo de barrera que aumenta la presión del aire hacia abajo. Para las fuentes de alimentación Loki de ROG, hemos escalado ese diseño a 120 mm para que lo mantenga todo fresco a bajas RPM a la vez que produce menos ruido.",Ventilador con rodamiento doble de bolas: El impulsor del ventilador gira sobre una configuración de rodamiento de doble hilera de bolas que durará hasta el doble de tiempo que un diseño de manguito.,"Tecnología 0dB: Para reducir el ruido, el ventilador controlado por PWM se apaga por completo cuando la carga de la fuente de alimentación es igual o menor al 40 %.","Certificación 80 Plus Platinum: Los condensadores japoneses de bajo ESR mejoran la eficiencia y reducen el calor, por lo que preparan a la ROG Loki para alimentar de forma fiable tu equipo durante años.","Compatible con ATX 3.0: Han llegado las últimas actualizaciones de las especificaciones de alimentación. ATX 3.0 introduce pautas más estrictas de regulación de voltaje y corriente para el hardware de última generación y ROG Loki se coloca en primera posición al ser totalmente compatible. La fuente de alimentación incluye un cable PCIe de 16 pines que permite suministrar hasta 600 W de potencia a las tarjetas gráficas PCIe Gen 5.0, lo que aporta capacidades a gran escala a los equipos SFF.",Experiencia: Ventilador con iluminación ARGB y Aura Sync. El ventilador de 120 mm de Loki cuenta con ocho LED direccionables personalizables con Aura Sync para crear patrones de iluminación sincronizados en todo tu equipo.,Control de energía,Potencia total: 1000 W,Voltaje de entrada AC: 100 - 240 V
Samsung 870 QVO 4TB Disco SSD SATA3 560MB/S V-NAND MLC,"Mejorado en todos los sentidos: Al alcanzar el límite máximo de interfaz SATA de 560/530 MB/s de velocidad secuencial, el 870 QVO presenta una velocidad aleatoria mejorada y un rendimiento sostenido en comparación con el modelo anterior 860 QVO. El TurboWrite inteligente acelera las velocidades de escritura y mantiene un alto rendimiento a largo plazo con un búfer variable más grande.","Disfruta de la capacidad máxima: El 870 QVO está disponible en 1, 2, 4 y 8TB. Con el 870 QVO, podrás disfrutar y escalar puestos en el mayor entorno informático SSD de la historia y con un precio más accesible.",Fiable y sostenible: La capacidad innovadora del 870 QVO duplica su fiabilidad hasta 2.880 TBW en comparación con el modelo anterior 860 QVO. Este increíble SSD proporciona mayor confianza con un preciso algoritmo ECC que permite un rendimiento mucho más estable.,Actualiza con facilidad: La actualización al 870 QVO es fácil para cualquier persona con un PC de sobremesa o portátil que admita un factor de forma SATA estándar de 2.5 pulgadas. Empezar a disfrutar de este SSD es tan fácil como conectar el 870 QVO a una ranura SATA y dejar que el software de migración se encargue del resto.,"Software Samsung Magician: Haz que tu disco funcione como por arte de magia. El nuevo y mejorado software Samsung Magacian 6.1 mantendrá tu SSD bajo control. Puedes administrar fácilmente tu disco con una amplia gama de útiles herramientas, y así mantenerte al día con las últimas actualizaciones, monitorear el estado del disco, o incluso mejorar su rendimiento.","La memoria flash número 1 del mundo: Experimenta un rendimiento y una confianza superiores que solo podrás obtener de la marca número uno del mundo en memorias flash desde 2003. Todos los firmware y componentes, incluidos DRAM y NAND, de renombre mundial de Samsung, se producen internamente, lo que permite un control de principio a fin. Producimos una calidad en la que puedes confiar.",Características,Algoritmos de seguridad soportados: 256-bit AES,"Factor de forma de disco SSD: 2.5""","SDD, capacidad: 4000 GB"
MSI MAG CoreLiquid 360R V2 Kit de Refrigeración Líquida ARGB,"Bloque rotable. Monta el bloque orientándolo a tu gusto, hasta 270 grados.","Diseño de bomba en radiador. La bomba ha sido integrada junto al radiador para reducir considerablemente el ruido. Adicionalmente, incorporando la bomba dentro del radiador se alargará la vida útil de la bomba alejándola de la fuente de calor.",Eliminación de resonancia del motor de la bomba. Un motor de larga duración con tres fases es el núcleo de la bomba que monta nuestra refrigeración. La bomba generará unas vibraciones mínimas para poder alargar mucho su vida útil.,"Alta disipación térmica. Una vía de agua separada a través del radiador consigue disipar rápidamente el calor, es entonces cuando el líquido ya refrigerado vuelve de nuevo al circuito.",Tubo a prueba de evaporación. Construido con 3 capas de plástico corrugado junto con una malla de refuerzo exterior.,"DIY 2.0 - integrándolo con el entorno de sistema. Conecta y sincroniza los disipadores MSI y las cajas gracias a sus conectores de forma estratégica ubicados, y un conector dedicado para la bomba de agua.",Más silencio del que esperas. El nivel acústico de MAG CORELIQUID 360R es hasta un 10% que la competencia.,"Refrigeración que no podrás ni oír. Para aquellos que necesiten un entorno totalmente silencioso, hemos incluido un accesorio para reducir el ruido reduciendo la velocidad de los ventiladores, pero, ofreciendo un buen Air Flow.",Extensa compatibilidad. Robusto pero flexible. MAG CORELIQUID Series ha sido diseñado para una instalación segura y compatibilidad para placas base Intel y AMD.,"Zócalo de CPU

Intel

LGA 1150/1151/1155/1156/1200
LGA 1366/2011/2011-3/2066/1700


AMD

AM4/FM2+/FM2/FM1/AM3+/AM2+/AM2/AM5
SocketTR4 / sTRX4/ SP3"
"Samsung 870 EVO SSD 2.5"" 1TB SATA3 Negro","Un rendimiento excelente: El 870 EVO alcanza el límite máximo de velocidades secuenciales de lectura y escritura en una interfaz SATA, con 560/530 MB/s respectivamente. Ahora podrás disfrutar del rendimiento SSD a nivel profesional. La tecnología inteligente TurboWrite acelera las velocidades de escritura y mantiene un alto rendimiento a largo plazo con un búfer variable más grande.","Fiabilidad que sienta precedentes: Proporcionando hasta 2400 TBW con una garantía limitada de 5 años, el 870 EVO cumple con los estándares líderes en la industria. Soporta tareas desde la informática diaria hasta el procesamiento de video 8K y viene equipado con el último controlador VNAND y MKX de sexta generación que garantiza una experiencia de host estable.","Más compatible que nunca: El 870 EVO ha pasado las pruebas de compatibilidad con los principales sistemas y aplicaciones de host, incluidos chipsets, placas base, NAS y dispositivos de grabación de video. Como la última tecnología en la serie EVO más vendida a nivel mundial, la versatilidad probada del 870 EVO es compatible con los sistemas y tareas de cualquier usuario.",Actualiza con facilidad: La actualización al 870 EVO es fácil para cualquier persona con un PC de sobremesa o portátil que admita un factor de forma SATA estándar de 2.5 pulgadas. Empezar a disfrutar de este SSD es tan fácil como conectar el 870 EVO a una ranura SATA y dejar que el software de migración se encargue del resto.,"Software Samsung Magician: Haz que tu disco funcione como por arte de magia. El nuevo y mejorado software Samsung Magician 6 mantendrá tu SSD bajo control. Puedes administrar fácilmente tu disco con una amplia gama de útiles herramientas, y así mantenerte al día con las últimas actualizaciones, monitorear el estado del disco, o incluso mejorar su rendimiento.",Unidad de estado sólido,"Factor de forma de disco SSD: 2.5""",Interfaz: Serial ATA III,"SDD, capacidad: 1000 GB",Velocidad de lectura: 560 MB/s
Corsair HXi Series HX1500i 1500W 80 Plus Platinum Modular,"Cableado totalmente modular: Conecte solo los cables que su sistema necesite, a fin de facilitar un montaje despejado y ordenado.","Certificación Intel ATX 3.0: Cumple con el estándar de alimentación ATX 3.0, es compatible con la plataforma PCIe Gen 5 y resiste los picos de potenciatransitorios.",Ventilador de 140 mm con rodamiento dinámico fluido (FDB): Ofrece un rendimiento del ventilador extremadamente silencioso y duradero,"El potente software CORSAIR iCUE: Cree curvas de ventilador personalizadas, monitorice los ajustes de potencia y alterne entre la protección de sobrecorriente(OCP) de uno a varios rieles sobre la marcha.",Modo de ventilador Zero RPM: A cargas medias y bajas el ventilador de refrigeración se desactiva completamente para que disfrute de un funcionamientoprácticamente silencioso.,"Certificación 80 PLUS Platinum: Hasta un 92 % de eficiencia para lograr un consumo energético excepcionalmente bajo, menos ruido y temperaturas más bajas.",Condensadores electrolíticos 100 % japoneses a 105 °C: Los componentes internos de primera calidad garantizan una entrega de potencia sólida y fiabilidad alargo plazo.,Compatibilidad con Modern Standby: Tiempos de activación extremadamente rápidos y mejor eficiencia en cargas bajas.,"Plataforma totalmente digital: La topología LLC resonante y la conversión CC a CC ofrecen una potencia limpia y constante, a la vez que se minimiza el zumbidode la bobina y el ruido para un funcionamiento silencioso",Garantía de diez años: Una garantía de funcionamiento fiable que durará varios montajes de sistemas
